day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl,tvl_change,liquidity_flow,prev_tvl_change,prev_flow,tvl_ma_3d,tvl_ma_7d,tvl_ma_30d,tvl_momentum,pool_ratio,tvl_volatility_7d,day_of_week,month,pct_from_ma7
2025-01-10 00:00:00+00:00,24212.58939968527,57723666.16400221,79207369.24015749,57754433.27892625,136961802.51908374,2556968.9109788835,1,-79022.07523623109,0.0,135283497.27017656,137198579.44337645,143455780.21335667,-236776.9242927134,0.578317222636735,2521234.040824135,4,1,-0.17257972003305921
2025-01-11 00:00:00+00:00,23564.824811614468,59060166.96361455,76904281.97853856,59098507.26547523,136002789.2440138,-959013.275069952,0,2556968.9109788835,1.0,135789808.4570675,137293989.8844356,143301805.32473138,-1291200.6404218078,0.5654610644827164,2450601.21263586,5,1,-0.940464066568864
2025-01-12 00:00:00+00:00,24654.55743958523,60676496.18544999,80681902.25127892,60740185.64889916,141422087.90017807,5419298.6561642885,1,-959013.275069952,0.0,138128893.2210919,137578174.51986286,142700742.341665,3843913.3803152144,0.5705042504267633,2826483.5468026893,6,1,2.7939848698604797
2025-01-13 00:00:00+00:00,26943.98890049987,55910101.99682489,84542159.5864296,55954752.0372384,140496911.623668,-925176.2765100896,0,5419298.6561642885,1.0,139307262.92261997,137667189.02098235,142097822.25762007,2829722.6026856303,0.6017367827478116,2919122.98084723,0,1,2.0554807741838483
2025-01-14 00:00:00+00:00,26190.929454801037,58565202.703644186,83678705.51458015,58590283.6584047,142268989.17298484,1772077.5493168533,1,-925176.2765100896,0.0,141395996.232277,138005895.67876777,142304876.28201836,4263093.494217068,0.588172489317649,3329776.6579813436,1,1,3.089066212171214
2025-01-15 00:00:00+00:00,17750.458994579836,69224263.9147251,58385104.949619696,69244898.2736985,127630003.2233182,-14638985.949666634,0,1772077.5493168533,1.0,136798634.6733237,137026773.89876452,142498613.20885897,-9396770.675446317,0.45745595451769644,5083766.612944709,2,1,-6.857616513973143
2025-01-16 00:00:00+00:00,20453.018263481583,63439403.450697154,68490843.29501098,63452927.93852025,131943771.23353124,4313768.010213032,1,-14638985.949666634,0.0,133947587.87661143,136675193.5595397,142369662.56058365,-4731422.326008469,0.5190911450741164,5372230.789157375,3,1,-3.461800347805853
2025-01-17 00:00:00+00:00,17300.259795415754,73195125.94592443,58984477.6846971,73202683.85097782,132187161.53567491,243390.30214367807,1,4313768.010213032,1.0,130586978.6641748,135993101.9904813,141845473.44143093,-3805940.4548063725,0.4462194134396195,5626851.1961738365,4,1,-2.79862757676692
2025-01-18 00:00:00+00:00,27068.05461843306,64341274.84876785,89933001.49865113,64366867.48446786,154299868.98311898,22112707.447444066,1,243390.30214367807,1.0,139476933.91744173,138606970.52463916,142263307.673769,15692898.458479822,0.5828456115441689,8918895.570511559,5,1,11.321868156472123
2025-01-19 00:00:00+00:00,23178.541776707687,58129869.90800378,76527674.7050209,58172444.78987584,134700119.49489674,-19599749.48822224,0,22112707.447444066,1.0,140395716.67123023,137646689.3238847,142325970.3416982,-2946569.828987956,0.568133680890463,8927147.812758347,6,1,-2.1406761350101444
2025-01-20 00:00:00+00:00,24383.26602432836,73061488.51074418,80797437.59335594,73114596.8560055,153912034.44936144,19211914.954464704,1,-19599749.48822224,0.0,147637340.9757924,139563135.44184092,142962281.35824805,14348899.007520527,0.5249585445505828,10869622.29684574,0,1,10.281295961210354
2025-01-21 00:00:00+00:00,29005.550990423508,83612540.8223283,95338122.9731046,83658340.17220628,178996463.14531088,25084428.695949435,1,19211914.954464704,1.0,155869539.02985635,144809917.4378875,144521943.04960164,34186545.70742339,0.5326257362733937,18546593.4581583,1,1,23.60787597443858
2025-01-22 00:00:00+00:00,33481.46061286377,68109190.61853608,110412970.56355348,68136246.99450943,178549217.5580629,-447245.5872479677,0,25084428.695949435,1.0,170485905.05091175,152084090.91427958,145999998.62530702,26465126.64378333,0.6183895514840214,20561503.249357574,2,1,17.40164042450705
2025-01-23 00:00:00+00:00,28983.12912245223,84215024.47361931,93818260.15547071,84261709.71574557,178079969.8712163,-469247.6868466139,0,-447245.5872479677,0.0,178541883.52486336,158674976.43394884,146456564.18541962,19404993.437267452,0.5268321879395987,20423545.797303706,3,1,12.229397396725068
2025-01-24 00:00:00+00:00,34521.368920384935,79543362.7167742,116199014.08943814,79573974.75896184,195772988.8484,17693018.9771837,1,-469247.6868466139,0.0,184134058.7592264,167758666.05005246,147497202.4024176,28014322.798347533,0.5935395621886262,20815825.731611993,4,1,16.699180708786265
2025-01-25 00:00:00+00:00,33863.967828249326,81252897.36114034,112208476.10369638,81297205.58173281,193505681.6854292,-2267307.162970811,0,17693018.9771837,1.0,189119546.80168185,173359496.43609676,148543214.6162653,20146185.249332428,0.5798717387849475,21840238.452147085,5,1,11.62104509040187
2025-01-26 00:00:00+00:00,37267.22320110761,67248478.56197986,123820381.43570006,67300928.8727333,191121310.30843335,-2384371.3769958317,0,-2267307.162970811,0.0,193466660.28075418,181419666.55231634,149505579.00488916,9701643.756117016,0.6478627696507395,14307028.018406956,6,1,5.347625172334519
2025-01-27 00:00:00+00:00,36948.74356411188,60734733.36605033,115413949.8365549,60776833.50226651,176190783.3388214,-14930526.969611943,0,-2384371.3769958317,0.0,186939258.44422802,184602344.9650963,149964455.68046835,-8411561.626274884,0.6550510057873435,8445034.111945556,0,1,-4.556584385677929
2025-01-28 00:00:00+00:00,38787.340359591806,56223273.93302491,122951842.05977827,56250797.37303185,179202639.43281013,3011856.0939887166,1,-14930526.969611943,0.0,182171577.693355,184631798.72045332,150443238.78928083,-5429159.287643194,0.6861050844392144,8422553.483590093,1,1,-2.9405331721126524
2025-01-29 00:00:00+00:00,37746.95777040832,57843623.61240533,117881886.67160337,57873173.46938884,175755060.14099222,-3447579.2918179035,0,3011856.0939887166,1.0,177049494.30420795,184232633.3751575,151747700.79429877,-8477573.234165281,0.6707168861996775,8815892.907172823,2,1,-4.60155895231774
2025-01-30 00:00:00+00:00,34535.31704029204,68439393.77317002,111151197.20926516,68463647.69624878,179614844.90551394,3859784.764521718,1,-3447579.2918179035,0.0,178190848.15977213,184451901.23720002,153206074.10076278,-4837056.3316860795,0.6188307946803397,8654978.912884118,3,1,-2.6223944015983656
2025-01-31 00:00:00+00:00,33079.77331717058,74104955.71401396,109157613.45335716,74129214.79465534,183286828.24801248,3671983.342498541,1,3859784.764521718,1.0,179552244.43150625,182668164.00857326,154779770.0467429,618664.2394392192,0.5955562355285661,7075430.502319766,4,1,0.3386820263930518
2025-02-01 00:00:00+00:00,38851.709902756134,58824751.05511621,126357622.51644276,58857413.29388701,185215035.81032977,1928207.562317282,1,3671983.342498541,1.0,182705569.65461874,181483786.0264162,156357691.46629798,3731249.7839135528,0.682221192051815,5470920.228886233,5,2,2.055968671146437
