day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl
2025-06-11 00:00:00.000 UTC,15264.785295859856,82613127.87511477,42750940.909299314,82620365.70304021,125371306.61233953
2025-06-12 00:00:00.000 UTC,16552.595078070215,71783872.87049851,45329439.10084569,71813692.83843727,117143131.93928295
2025-06-13 00:00:00.000 UTC,17803.804870738855,70694427.99312565,45108549.62835593,70726669.80709256,115835219.4354485
2025-06-14 00:00:00.000 UTC,18694.758377856982,68346622.30823573,47420809.92547154,68396021.01608233,115816830.94155386
2025-06-15 00:00:00.000 UTC,19219.347086021506,69122782.4645277,48732015.90702612,69180484.14724779,117912500.0542739
2025-06-16 00:00:00.000 UTC,18465.46317197412,68905102.11762175,48278534.99698377,68950216.05845666,117228751.05544044
2025-06-17 00:00:00.000 UTC,19192.64617139986,67397832.92724225,48911034.646810226,67432133.04173636,116343167.6885466
2025-06-18 00:00:00.000 UTC,18694.19243792538,67345248.9576033,47066305.337886125,67380688.225679,114446993.56356512
2025-06-19 00:00:00.000 UTC,18706.143329721617,67220256.86915287,47139727.35854857,67255423.09985323,114395150.4584018
2025-06-20 00:00:00.000 UTC,20849.97460913964,61945529.73216173,52094503.52345173,61986064.69291425,114080568.21636598
2025-06-21 00:00:00.000 UTC,22149.20630706821,59195436.973994225,53370673.68263493,59243334.50963459,112614008.19226952
2025-06-22 00:00:00.000 UTC,16071.878864500995,58286959.63288972,36017997.41371385,58328896.49318977,94346893.90690362
2025-06-23 00:00:00.000 UTC,14320.602985233218,64298581.21353242,32609333.177963737,64333994.996689565,96943328.1746533
2025-06-24 00:00:00.000 UTC,14073.965763887074,65043960.655916005,34119198.53716166,65068788.25188444,99187986.78904612
2025-06-25 00:00:00.000 UTC,14298.542923020654,63577690.60242295,34796638.65353802,63597639.64814052,98394278.30167854
2025-06-26 00:00:00.000 UTC,14370.616634831462,63066804.36626595,35237939.06141844,63095066.17797261,98333005.23939104
2025-06-27 00:00:00.000 UTC,13197.2758138175,63070518.01035571,32119612.35864285,63103629.81331619,95223242.17195904
2025-06-28 00:00:00.000 UTC,12974.557010088743,63467235.354644775,31522203.436269294,63492031.21015737,95014234.64642666
2025-06-29 00:00:00.000 UTC,12207.266152583052,65270431.86095774,29846054.07640338,65291353.98060386,95137408.05700724
2025-06-30 00:00:00.000 UTC,12304.02063719217,64725126.89744377,30589287.166562,64753437.62300068,95342724.78956269
2025-07-01 00:00:00.000 UTC,13223.623898448875,62428049.27549279,32376330.013242133,62474864.24305577,94851194.2562979
2025-07-02 00:00:00.000 UTC,11347.461327358138,66764570.11776769,28227313.989408854,66789834.248378776,95017148.23778763
2025-07-03 00:00:00.000 UTC,11127.658992694973,67751713.44232887,28787643.66854367,67749252.03198943,96536895.70053308
2025-07-04 00:00:00.000 UTC,11974.058587870666,65531427.329765975,30390131.592401087,65549351.99545816,95939483.58785924
2025-07-05 00:00:00.000 UTC,11884.195475034609,65771169.906612754,29898207.80802823,65811384.18119621,95709591.98922443
2025-07-06 00:00:00.000 UTC,11361.68473482969,67958853.34200096,28795325.99898244,67988579.44113205,96783905.4401145
2025-07-07 00:00:00.000 UTC,11586.870212264712,66296509.125645965,29610761.79945189,66305562.74267349,95916324.54212536
2025-07-08 00:00:00.000 UTC,10956.821065948408,68267510.82238302,28172500.181385368,68274262.9058753,96446763.08726066
2025-07-09 00:00:00.000 UTC,9450.03822014068,71852753.63245502,25103181.934637785,71839641.00389458,96942822.93853237
2025-07-10 00:00:00.000 UTC,7825.580744017763,73208040.02771896,21947801.732289847,73170887.70998865,95118689.4422785
